Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-458 c,1594.74,16.4 Earths,14.027,2016,0.375 x Jupiter,Neptune-like,Transit,0.154 AU,20.7 days,0
HD 24064 b,300.247,12.89 Jupiters,6.74616,2015,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,1.29 AU,1.5 years,0.35
HD 12648 b,182.192,1.96 Jupiters,6.98656,2015,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,0.54 AU,133.6 days,0.04
HD 11755 b,235.045,5.63 Jupiters,6.88269,2015,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,1.09 AU,433.7 days,0.19
8 Ursae Minoris b,162.552,1.31 Jupiters,6.83295,2015,,,,,,
LkCa 15 c,158.152,Unknown,12.025,2015,Unknown,Unknown,Imaging,18.6 AU,365 days,
LkCa 15 b,158.152,Unknown,12.025,2015,Unknown,Unknown,Imaging,14.7 AU,365 days,
HD 33844 c,105.779,1.75 Jupiters,7.29,2015,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,2.24 AU,2.5 years,0.13
HD 33844 b,105.779,2.01 Jupiters,7.29,2015,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,1.6 AU,1.5 years,0.15
Wolf 1061 d,4.30592,7.7 Earths,10.1,2015,0.24 x Jupiter (estimate),Neptune-like,Radial Velocity,0.47 AU,217.2 days,0.55
Wolf 1061 c,4.30592,3.41 Earths,10.1,2015,1.66 x Earth (estimate),Super Earth,Radial Velocity,0.089 AU,17.9 days,0.11
Wolf 1061 b,4.30592,1.91 Earths,10.1,2015,1.21 x Earth (estimate),Super Earth,Radial Velocity,0.0375 AU,4.9 days,0.15
HD 219134 h,6.5418,0.34 Jupiters,5.54,2015,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,3.11 AU,6.2 years,0.06
HD 219134 g,6.5418,10.80622 Earths,5.54,2015,0.293 x Jupiter (estimate),Neptune-like,Radial Velocity,0.3753 AU,94.2 days,0
HD 219134 f,6.5418,7.3 Earths,5.54,2015,1.31 x Earth,Super Earth,Radial Velocity,0.1463 AU,22.7 days,0.15
HD 175607 b,40.3303,8.98 Earths,8.6,2015,0.263 x Jupiter (estimate),Neptune-like,Radial Velocity,Unknown,29 days,0.11
KIC 9663113 b,1594.74,19.2 Earths,14.027,2015,0.41 x Jupiter,Neptune-like,Transit,1.4062 AU,1.6 years,0
